#--------------------------------------------------------------------------------------------------|
#---1----|----2----|----3----|----4----|----5----|----6----|----7----|----8----|----9----|---10----|
#--------------------------------------------------------------------------------------------------|
#
/MAT/PLAS_JOHNS/1
Aluminum
#              RHO_I
             2.7e-09
#                  E                  Nu     Iflag
               70000                0.33         1
#              SIG_Y                 UTS                EUTS           EPS_p_max            SIG_max0
                 180               248.5                 0.4                 0.0                 0.0
#                  c           EPS_DOT_0       ICC   Fsmooth               F_cut               Chard
                   0                   0         0         0                   0                   0
#                  m              T_melt              rhoC_p                 T_r
                   0                   0                   0                   0
#
#--------------------------------------------------------------------------------------------------|
#---1----|----2----|----3----|----4----|----5----|----6----|----7----|----8----|----9----|---10----|
#--------------------------------------------------------------------------------------------------|
#
#
#--------------------------------------------------------------------------------------------------|
#---1----|----2----|----3----|----4----|----5----|----6----|----7----|----8----|----9----|---10----|
#--------------------------------------------------------------------------------------------------|
#
#--------------------------------------------------------------------------------------------------|
#---1----|----2----|----3----|----4----|----5----|----6----|----7----|----8----|----9----|---10----|
#--------------------------------------------------------------------------------------------------|
#/FUNCT/1
Plasticity
                   X                   Y
                   0                 180
                0.01                 190
                0.02                 197
                0.05               211.5
                 0.1               225.8
                0.15               233.6
                 0.2               238.5
                 0.4               248.5
#enddata
/END
